"Names","Code_Names"
"Patient...1","patient_1"
"Age    (Years)...2","age_years_2"
"Sex...3","sex_3"
"Race...4","race_4"
"Height (cm)...5","height_cm_5"
"Weight (kg)...6","weight_kg_6"
"SCD Genotype...7","scd_genotype_7"
"If Other, List...8","if_other_list_8"
"Maintenance RCE Indication                       (select all that apply)...9","maintenance_rce_indication_select_all_that_apply_9"
"If Other, List...10","if_other_list_10"
"ABO Group...11","abo_group_11"
"D Status...12","d_status_12"
"allo ab (1=yes, 0=no)","allo_ab_1_yes_0_no"
"H/O RBC Alloantibodies?","h_o_rbc_alloantibodies"
"If Yes,                    select all that apply","if_yes_select_all_that_apply"
"If Other, List...16","if_other_list_16"
"H/O RBC Autoantibodies?","h_o_rbc_autoantibodies"
"If Yes,                                    Warm, Cold, or Both?","if_yes_warm_cold_or_both"
"H/O Hepatomegaly/Splenomegaly?","h_o_hepatomegaly_splenomegaly"
"H/O Surgical Splenectomy?","h_o_surgical_splenectomy"
"Hydroxyurea at enrollment?","hydroxyurea_at_enrollment"
"L-glutamine at enrollment?","l_glutamine_at_enrollment"
"Pentoxifylline at enrollment?","pentoxifylline_at_enrollment"
"Voxelotor at enrollment?","voxelotor_at_enrollment"
"Crizanlizumab at enrollment?","crizanlizumab_at_enrollment"
"Patient...26","patient_26"
"Age    (Years)...27","age_years_27"
"Sex...28","sex_28"
"Race...29","race_29"
"Height (cm)...30","height_cm_30"
"Weight (kg)...31","weight_kg_31"
"SCD Genotype...32","scd_genotype_32"
"If Other, List...33","if_other_list_33"
"Maintenance RCE Indication                       (select all that apply)...34","maintenance_rce_indication_select_all_that_apply_34"
"If Other, List...35","if_other_list_35"
"ABO Group...36","abo_group_36"
"D Status...37","d_status_37"
